mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	1.0	2	4/4	1/4	3/4						firstMeasure	2
2	2	1	1	4.0	2	4/4	1	0						start	3
3	3	5	5	4.0	2	4/4	1	0							4
4	4	9	9	4.0	2	4/4	1	0							5
5	5	13	13	4.0	2	4/4	1	0					line		6
6	6	17	17	4.0	2	4/4	1	0							7
7	7		21	4.0	2	4/4	1	0	1					end	2, 8
8	8	21	25	4.0	2	4/4	1	0							9
9	9	25	29	4.0	2	4/4	1	0					line		10
10	10	29	33	4.0	2	4/4	1	0							11
11	11	33	37	4.0	2	4/4	1	0							12
12	12	37	41	4.0	2	4/4	1	0					line		13
13	13	41	45	4.0	2	4/4	1	0							14
14	14	45	49	4.0	2	4/4	1	0							15
15	15	49	53	4.0	2	4/4	1	0					line		16
16	16	53	57	4.0	2	4/4	1	0							17
17	17	57	61	4.0	2	4/4	1	0							18
18	18	61	65	4.0	2	4/4	1	0							19
19	19	65	69	3.0	2	4/4	3/4	0					line	lastMeasure	-1
